Advertiser Name,Impression share,Impression share (Comparison),Outranking share,Outranking share (Comparison),Overlap rate,Overlap rate (Comparison),Top of page rate,Top of page rate (Comparison),Position above rate,Position above rate (Comparison)
You,36.08%,36.08%,No data,No data,No data,No data,47.55%,47.55%,No data,No data
mha.org.uk,< 10%,< 10%,34.49%,34.49%,8.12%,8.12%,66.67%,66.67%,54.17%,54.17%
ashleycaregroup.com,< 10%,< 10%,34.31%,34.31%,9.14%,9.14%,63.31%,63.31%,53.70%,53.70%
castlemeadowcare.co.uk,27.35%,27.35%,30.46%,30.46%,28.09%,28.09%,66.52%,66.52%,55.42%,55.42%
kingsleyhealthcare.co.uk,< 10%,< 10%,33.88%,33.88%,7.78%,7.78%,86.36%,86.36%,78.26%,78.26%
averyhealthcare.co.uk,< 10%,< 10%,34.31%,34.31%,6.09%,6.09%,91.97%,91.97%,80.56%,80.56%
healthcarehomes.co.uk,< 10%,< 10%,34.62%,34.62%,5.58%,5.58%,88.00%,88.00%,72.73%,72.73%
crystalcarecollection.co.uk,10.07%,10.07%,34.25%,34.25%,10.32%,10.32%,61.82%,61.82%,49.18%,49.18%
careyourway.co.uk,13.31%,13.31%,32.84%,32.84%,12.01%,12.01%,70.64%,70.64%,74.65%,74.65%
