Search Keyword,Match type,Criterion Status,Campaign Status,Ad Group Status,Cost,Clicks,CTR
care homes near me,Broad match,Enabled,Enabled,Enabled,£86.56,48,5.62%
martham lodge care home,Broad match,Enabled,Enabled,Enabled,£26.75,2,33.33%
care homes Norfolk,Broad match,Enabled,Enabled,Enabled,£21.83,8,17.39%
residential care homes,Phrase match,Enabled,Enabled,Enabled,£21.08,3,6.82%
care homes great yarmouth,Broad match,Enabled,Enabled,Enabled,£12.88,1,2.94%
care homes Norwich,Broad match,Enabled,Enabled,Enabled,£11.37,2,2.70%
martham lodge residential care home,Broad match,Enabled,Enabled,Enabled,£7.50,1,50.00%
aged care near me,Broad match,Enabled,Enabled,Enabled,£5.62,1,3.70%
care home for elderly near me,Exact match,Enabled,Enabled,Enabled,£2.89,1,14.29%
broadlands park upton,Broad match,Enabled,Enabled,Enabled,£1.80,2,40.00%
hollyman care homes,Phrase match,Enabled,Enabled,Enabled,£0.98,5,33.33%
care home for elderly,Phrase match,Enabled,Enabled,Enabled,£0.14,1,2.44%
private care home,Phrase match,Enabled,Enabled,Enabled,£0.00,0,0.00%
elderly care homes near me,Broad match,Enabled,Enabled,Enabled,£0.00,0,0.00%
care homes near me,Phrase match,Enabled,Enabled,Enabled,£0.00,0,0.00%
care facilities near me,Broad match,Enabled,Enabled,Enabled,£0.00,0,0.00%
care home in norfolk,Phrase match,Enabled,Enabled,Enabled,£0.00,0,0.00%
local care home,Phrase match,Enabled,Enabled,Enabled,£0.00,0,0.00%
residential care home near me,Exact match,Enabled,Enabled,Enabled,£0.00,0,0.00%
at home care near me,Broad match,Enabled,Enabled,Enabled,£0.00,0,0.00%
nurse home near me,Broad match,Enabled,Enabled,Enabled,£0.00,0,0.00%
broadland house care home,Broad match,Enabled,Enabled,Enabled,£0.00,0,0.00%
residential home near me,Broad match,Enabled,Enabled,Enabled,£0.00,0,0.00%
care homes in great yarmouth,Phrase match,Enabled,Enabled,Enabled,£0.00,0,0.00%
blofield care home,Broad match,Enabled,Enabled,Enabled,£0.00,0,0.00%
upton care home norfolk,Broad match,Enabled,Enabled,Enabled,£0.00,0,0.00%
care homes Norfolk,Phrase match,Enabled,Enabled,Enabled,£0.00,0,0.00%
private care home norfolk,Exact match,Enabled,Enabled,Enabled,£0.00,0,0.00%
residential care home norfolk,Exact match,Enabled,Enabled,Enabled,£0.00,0,0.00%
elderly care Norfolk,Broad match,Enabled,Enabled,Enabled,£0.00,0,0.00%
services for elderly near me,Broad match,Enabled,Enabled,Enabled,£0.00,0,0.00%
senior near me,Broad match,Enabled,Enabled,Enabled,£0.00,0,0.00%
care homes Norwich,Phrase match,Enabled,Enabled,Enabled,£0.00,0,0.00%
care homes in Norwich,Phrase match,Enabled,Enabled,Enabled,£0.00,0,0.00%
residential care near me,Phrase match,Enabled,Enabled,Enabled,£0.00,0,0.00%
help for the elderly near me,Broad match,Enabled,Enabled,Enabled,£0.00,0,0.00%
elderly care Norfolk,Phrase match,Enabled,Enabled,Enabled,£0.00,0,0.00%
care homes in great yarmouth area,Broad match,Enabled,Enabled,Enabled,£0.00,0,0.00%
care homes in brundall,Broad match,Enabled,Enabled,Enabled,£0.00,0,0.00%
care homes great yarmouth,Phrase match,Enabled,Enabled,Enabled,£0.00,0,0.00%
broadlands park care home,Broad match,Enabled,Enabled,Enabled,£0.00,0,0.00%
broadland house potter heigham,Broad match,Enabled,Enabled,Enabled,£0.00,0,0.00%
braydeston court,Broad match,Enabled,Enabled,Enabled,£0.00,0,0.00%
care home gorleston,Phrase match,Enabled,Enabled,Enabled,£0.00,0,0.00%
residential care homes Great Yarmouth,Exact match,Enabled,Enabled,Enabled,£0.00,0,0.00%
elderly care in martham,Broad match,Enabled,Enabled,Enabled,£0.00,0,0.00%
elderly car in acle,Broad match,Enabled,Enabled,Enabled,£0.00,0,0.00%
elderly care in brundall,Broad match,Enabled,Enabled,Enabled,£0.00,0,0.00%
elderly care in potter heigham,Broad match,Enabled,Enabled,Enabled,£0.00,0,0.00%
elderly care in Acle,Broad match,Enabled,Enabled,Enabled,£0.00,0,0.00%
